ttc_lidar,ttc_camera,detector,descriptor,frame
12.972159,13.865385,SHITOMASI,BRISK,1
12.264038,11.074775,SHITOMASI,BRISK,2
13.916132,14.905169,SHITOMASI,BRISK,3
14.886526,12.634663,SHITOMASI,BRISK,4
12.187262,13.027587,SHITOMASI,BRISK,5
7.501993,24.581294,SHITOMASI,BRISK,6
34.34042,13.827692,SHITOMASI,BRISK,7
18.787518,12.916175,SHITOMASI,BRISK,8
15.889385,13.083565,SHITOMASI,BRISK,9
13.729655,14.898208,SHITOMASI,BRISK,10
10.491403,10.771462,SHITOMASI,BRISK,11
10.099996,11.81256,SHITOMASI,BRISK,12
9.223069,11.251573,SHITOMASI,BRISK,13
10.967763,14.903166,SHITOMASI,BRISK,14
8.094218,8.015295,SHITOMASI,BRISK,15
8.813924,12.225762,SHITOMASI,BRISK,16
10.292551,11.516105,SHITOMASI,BRISK,17
8.309779,10.240361,SHITOMASI,BRISK,18
12.972159,13.049043,SHITOMASI,BRIEF,1
12.264038,12.772631,SHITOMASI,BRIEF,2
13.916132,14.382689,SHITOMASI,BRIEF,3
14.886526,9.692685,SHITOMASI,BRIEF,4
12.187262,13.71197,SHITOMASI,BRIEF,5
7.501993,14.456796,SHITOMASI,BRIEF,6
34.34042,16.153049,SHITOMASI,BRIEF,7
18.787518,11.630902,SHITOMASI,BRIEF,8
15.889385,12.811312,SHITOMASI,BRIEF,9
13.729655,17.169987,SHITOMASI,BRIEF,10
10.491403,12.275329,SHITOMASI,BRIEF,11
10.099996,12.762751,SHITOMASI,BRIEF,12
9.223069,12.930553,SHITOMASI,BRIEF,13
10.967763,12.008644,SHITOMASI,BRIEF,14
8.094218,10.355459,SHITOMASI,BRIEF,15
8.813924,11.797656,SHITOMASI,BRIEF,16
10.292551,11.301798,SHITOMASI,BRIEF,17
8.309779,11.073305,SHITOMASI,BRIEF,18
12.972159,14.1124,SHITOMASI,ORB,1
12.264038,12.029876,SHITOMASI,ORB,2
13.916132,12.008644,SHITOMASI,ORB,3
14.886526,13.012942,SHITOMASI,ORB,4
12.187262,12.614412,SHITOMASI,ORB,5
7.501993,12.994489,SHITOMASI,ORB,6
34.34042,19.391388,SHITOMASI,ORB,7
18.787518,12.478985,SHITOMASI,ORB,8
15.889385,11.642061,SHITOMASI,ORB,9
13.729655,13.525652,SHITOMASI,ORB,10
10.491403,10.958449,SHITOMASI,ORB,11
10.099996,10.46008,SHITOMASI,ORB,12
9.223069,13.086079,SHITOMASI,ORB,13
10.967763,11.843832,SHITOMASI,ORB,14
8.094218,8.695383,SHITOMASI,ORB,15
8.813924,11.745067,SHITOMASI,ORB,16
10.292551,11.231679,SHITOMASI,ORB,17
8.309779,11.973856,SHITOMASI,ORB,18
12.972159,12.673333,SHITOMASI,FREAK,1
12.264038,12.131772,SHITOMASI,FREAK,2
13.916132,14.237598,SHITOMASI,FREAK,3
14.886526,11.307558,SHITOMASI,FREAK,4
12.187262,12.067221,SHITOMASI,FREAK,5
7.501993,15.917013,SHITOMASI,FREAK,6
34.34042,15.296896,SHITOMASI,FREAK,7
18.787518,13.052144,SHITOMASI,FREAK,8
15.889385,12.595108,SHITOMASI,FREAK,9
13.729655,15.061439,SHITOMASI,FREAK,10
10.491403,11.403494,SHITOMASI,FREAK,11
10.099996,11.521138,SHITOMASI,FREAK,12
9.223069,12.9883,SHITOMASI,FREAK,13
10.967763,11.885471,SHITOMASI,FREAK,14
8.094218,9.150404,SHITOMASI,FREAK,15
8.813924,11.30793,SHITOMASI,FREAK,16
10.292551,12.303239,SHITOMASI,FREAK,17
8.309779,10.978246,SHITOMASI,FREAK,18
12.972159,13.761609,SHITOMASI,SIFT,1
12.264038,12.071724,SHITOMASI,SIFT,2
13.916132,13.306742,SHITOMASI,SIFT,3
14.886526,12.561005,SHITOMASI,SIFT,4
12.187262,12.905601,SHITOMASI,SIFT,5
7.501993,13.404187,SHITOMASI,SIFT,6
34.34042,10.623475,SHITOMASI,SIFT,7
18.787518,15.328437,SHITOMASI,SIFT,8
15.889385,9.976294,SHITOMASI,SIFT,9
13.729655,17.022613,SHITOMASI,SIFT,10
10.491403,12.061055,SHITOMASI,SIFT,11
10.099996,12.792192,SHITOMASI,SIFT,12
9.223069,12.930553,SHITOMASI,SIFT,13
10.967763,14.582962,SHITOMASI,SIFT,14
8.094218,10.297563,SHITOMASI,SIFT,15
8.813924,12.890959,SHITOMASI,SIFT,16
10.292551,11.618068,SHITOMASI,SIFT,17
8.309779,11.948269,SHITOMASI,SIFT,18
12.972159,8.813354,HARRIS,BRISK,1
12.264038,10.19503,HARRIS,BRISK,2
13.916132,0,HARRIS,BRISK,3
14.886526,10.978246,HARRIS,BRISK,4
12.187262,35.383263,HARRIS,BRISK,5
7.501993,13.621705,HARRIS,BRISK,6
34.34042,12.2,HARRIS,BRISK,7
18.787518,10.733489,HARRIS,BRISK,8
15.889385,0,HARRIS,BRISK,9
13.729655,0,HARRIS,BRISK,10
10.491403,11.670231,HARRIS,BRISK,11
10.099996,11.694809,HARRIS,BRISK,12
9.223069,13.456033,HARRIS,BRISK,13
10.967763,12.140251,HARRIS,BRISK,14
8.094218,0,HARRIS,BRISK,15
8.813924,10.153227,HARRIS,BRISK,16
8.309779,0,HARRIS,BRISK,18
12.972159,8.813354,HARRIS,BRIEF,1
12.264038,0,HARRIS,BRIEF,2
13.916132,-10.29503,HARRIS,BRIEF,3
14.886526,11.395147,HARRIS,BRIEF,4
12.187262,44.916611,HARRIS,BRIEF,5
7.501993,13.621705,HARRIS,BRIEF,6
34.34042,11.728461,HARRIS,BRIEF,7
18.787518,10.733489,HARRIS,BRIEF,8
15.889385,0,HARRIS,BRIEF,9
13.729655,-4.002767,HARRIS,BRIEF,10
10.491403,11.670231,HARRIS,BRIEF,11
10.099996,11.694809,HARRIS,BRIEF,12
9.223069,0,HARRIS,BRIEF,13
10.967763,0,HARRIS,BRIEF,14
8.094218,0,HARRIS,BRIEF,15
8.813924,9.23765,HARRIS,BRIEF,16
10.292551,0,HARRIS,BRIEF,17
8.309779,0,HARRIS,BRIEF,18
12.972159,8.813354,HARRIS,ORB,1
12.264038,0,HARRIS,ORB,2
13.916132,-10.29503,HARRIS,ORB,3
14.886526,11.395147,HARRIS,ORB,4
12.187262,44.916611,HARRIS,ORB,5
7.501993,13.621705,HARRIS,ORB,6
34.34042,12.2,HARRIS,ORB,7
18.787518,10.733489,HARRIS,ORB,8
15.889385,0,HARRIS,ORB,9
13.729655,0,HARRIS,ORB,10
10.491403,11.670231,HARRIS,ORB,11
10.099996,0,HARRIS,ORB,12
9.223069,13.456033,HARRIS,ORB,13
10.967763,12.140251,HARRIS,ORB,14
8.094218,-0.181755,HARRIS,ORB,15
8.813924,12.868189,HARRIS,ORB,16
10.292551,0,HARRIS,ORB,17
8.309779,0,HARRIS,ORB,18
12.972159,0,HARRIS,FREAK,1
12.264038,10.19503,HARRIS,FREAK,2
13.916132,-0.131122,HARRIS,FREAK,3
14.886526,-0.359477,HARRIS,FREAK,4
12.187262,44.916611,HARRIS,FREAK,5
7.501993,13.621705,HARRIS,FREAK,6
34.34042,11.728461,HARRIS,FREAK,7
18.787518,10.733489,HARRIS,FREAK,8
15.889385,0,HARRIS,FREAK,9
13.729655,1.751643,HARRIS,FREAK,10
10.491403,0,HARRIS,FREAK,11
10.099996,11.694809,HARRIS,FREAK,12
9.223069,13.456033,HARRIS,FREAK,13
10.967763,12.140251,HARRIS,FREAK,14
8.094218,0,HARRIS,FREAK,15
8.813924,9.23765,HARRIS,FREAK,16
10.292551,0,HARRIS,FREAK,17
8.309779,0,HARRIS,FREAK,18
12.972159,8.813354,HARRIS,SIFT,1
12.264038,-17.203586,HARRIS,SIFT,2
13.916132,-80.852533,HARRIS,SIFT,3
14.886526,10.978246,HARRIS,SIFT,4
12.187262,44.916611,HARRIS,SIFT,5
7.501993,0,HARRIS,SIFT,6
34.34042,10.764207,HARRIS,SIFT,7
18.787518,10.733489,HARRIS,SIFT,8
15.889385,0,HARRIS,SIFT,9
13.729655,0,HARRIS,SIFT,10
10.491403,11.670231,HARRIS,SIFT,11
10.099996,11.694809,HARRIS,SIFT,12
9.223069,13.456033,HARRIS,SIFT,13
10.967763,5.17581,HARRIS,SIFT,14
8.094218,0,HARRIS,SIFT,15
8.813924,11.290914,HARRIS,SIFT,16
10.292551,0,HARRIS,SIFT,17
8.309779,0,HARRIS,SIFT,18
12.972159,14.102492,FAST,BRISK,1
12.264038,12.064161,FAST,BRISK,2
13.916132,13.080921,FAST,BRISK,3
14.886526,12.250616,FAST,BRISK,4
12.187262,20.742054,FAST,BRISK,5
7.501993,12.559725,FAST,BRISK,6
34.34042,14.638859,FAST,BRISK,7
18.787518,15.044743,FAST,BRISK,8
15.889385,13.792042,FAST,BRISK,9
13.729655,14.442054,FAST,BRISK,10
10.491403,16.158126,FAST,BRISK,11
10.099996,12.624369,FAST,BRISK,12
9.223069,11.653101,FAST,BRISK,13
10.967763,11.59651,FAST,BRISK,14
8.094218,10.908219,FAST,BRISK,15
8.813924,11.204033,FAST,BRISK,16
10.292551,10.592401,FAST,BRISK,17
8.309779,8.830552,FAST,BRISK,18
12.972159,13.542124,FAST,BRIEF,1
12.264038,12.029876,FAST,BRIEF,2
13.916132,12.130901,FAST,BRIEF,3
14.886526,14.497396,FAST,BRIEF,4
12.187262,15.366955,FAST,BRIEF,5
7.501993,12.812943,FAST,BRIEF,6
34.34042,13.332064,FAST,BRIEF,7
18.787518,16.412977,FAST,BRIEF,8
15.889385,16.480024,FAST,BRIEF,9
13.729655,13.837844,FAST,BRIEF,10
10.491403,12.073911,FAST,BRIEF,11
10.099996,14.301054,FAST,BRIEF,12
9.223069,11.822715,FAST,BRIEF,13
10.967763,11.595757,FAST,BRIEF,14
8.094218,9.35284,FAST,BRIEF,15
8.813924,10.941102,FAST,BRIEF,16
10.292551,12.892574,FAST,BRIEF,17
8.309779,13.418588,FAST,BRIEF,18
12.972159,13.314911,FAST,ORB,1
12.264038,12.674631,FAST,ORB,2
13.916132,16.504394,FAST,ORB,3
14.886526,13.806498,FAST,ORB,4
12.187262,34.702802,FAST,ORB,5
7.501993,15.483047,FAST,ORB,6
34.34042,15.172745,FAST,ORB,7
18.787518,22.848579,FAST,ORB,8
15.889385,15.39492,FAST,ORB,9
13.729655,16.416149,FAST,ORB,10
10.491403,12.29959,FAST,ORB,11
10.099996,14.507072,FAST,ORB,12
9.223069,11.961899,FAST,ORB,13
10.967763,11.388107,FAST,ORB,14
8.094218,10.758689,FAST,ORB,15
8.813924,10.832238,FAST,ORB,16
10.292551,12.852145,FAST,ORB,17
8.309779,10.552203,FAST,ORB,18
12.972159,11.741703,FAST,FREAK,1
12.264038,12.159914,FAST,FREAK,2
13.916132,11.233581,FAST,FREAK,3
14.886526,13.526059,FAST,FREAK,4
12.187262,13.751983,FAST,FREAK,5
7.501993,13.567349,FAST,FREAK,6
34.34042,14.442054,FAST,FREAK,7
18.787518,11.448902,FAST,FREAK,8
15.889385,14.936413,FAST,FREAK,9
13.729655,14.506102,FAST,FREAK,10
10.491403,11.503463,FAST,FREAK,11
10.099996,13.003065,FAST,FREAK,12
9.223069,11.338178,FAST,FREAK,13
10.967763,11.243144,FAST,FREAK,14
8.094218,11.613734,FAST,FREAK,15
8.813924,10.806986,FAST,FREAK,16
10.292551,12.103938,FAST,FREAK,17
8.309779,12.958971,FAST,FREAK,18
12.972159,12.696938,FAST,SIFT,1
12.264038,10.786964,FAST,SIFT,2
13.916132,12.081879,FAST,SIFT,3
14.886526,14.696303,FAST,SIFT,4
12.187262,50.058283,FAST,SIFT,5
7.501993,14.855907,FAST,SIFT,6
34.34042,10.793025,FAST,SIFT,7
18.787518,17.891386,FAST,SIFT,8
15.889385,11.912291,FAST,SIFT,9
13.729655,15.601591,FAST,SIFT,10
10.491403,12.203265,FAST,SIFT,11
10.099996,14.615201,FAST,SIFT,12
9.223069,13.575292,FAST,SIFT,13
10.967763,11.11435,FAST,SIFT,14
8.094218,12.054238,FAST,SIFT,15
8.813924,10.938145,FAST,SIFT,16
10.292551,13.166403,FAST,SIFT,17
8.309779,10.7,FAST,SIFT,18
12.972159,11.946086,BRISK,BRISK,1
12.264038,20.579269,BRISK,BRISK,2
13.916132,15.583205,BRISK,BRISK,3
14.886526,13.977917,BRISK,BRISK,4
12.187262,23.368358,BRISK,BRISK,5
7.501993,18.170705,BRISK,BRISK,6
34.34042,13.922669,BRISK,BRISK,7
18.787518,16.568028,BRISK,BRISK,8
15.889385,16.198437,BRISK,BRISK,9
13.729655,13.024227,BRISK,BRISK,10
10.491403,14.966396,BRISK,BRISK,11
10.099996,12.584894,BRISK,BRISK,12
9.223069,12.631174,BRISK,BRISK,13
10.967763,16.615819,BRISK,BRISK,14
8.094218,12.160555,BRISK,BRISK,15
8.813924,10.615307,BRISK,BRISK,16
10.292551,9.84818,BRISK,BRISK,17
8.309779,11.151231,BRISK,BRISK,18
12.972159,19.970219,BRISK,BRIEF,1
12.264038,11.560619,BRISK,BRIEF,2
13.916132,12.903455,BRISK,BRIEF,3
14.886526,14.240618,BRISK,BRIEF,4
12.187262,15.746949,BRISK,BRIEF,5
7.501993,31.253273,BRISK,BRIEF,6
34.34042,16.605647,BRISK,BRIEF,7
18.787518,14.459608,BRISK,BRIEF,8
15.889385,10.249751,BRISK,BRIEF,9
13.729655,18.464021,BRISK,BRIEF,10
10.491403,14.46882,BRISK,BRIEF,11
10.099996,12.222823,BRISK,BRIEF,12
9.223069,13.312698,BRISK,BRIEF,13
10.967763,17.149198,BRISK,BRIEF,14
8.094218,12.67265,BRISK,BRIEF,15
8.813924,14.925489,BRISK,BRIEF,16
10.292551,8.219793,BRISK,BRIEF,17
